country,p0p1,p1p2,p2p3,p3p4,p4p5,p5p6,p6p7,p7p8,p8p9,p9p10,p10p11,p11p12,p12p13,p13p14,p14p15,p15p16,p16p17,p17p18,p18p19,p19p20,p20p21,p21p22,p22p23,p23p24,p24p25,p25p26,p26p27,p27p28,p28p29,p29p30,p30p31,p31p32,p32p33,p33p34,p34p35,p35p36,p36p37,p37p38,p38p39,p39p40,p40p41,p41p42,p42p43,p43p44,p44p45,p45p46,p46p47,p47p48,p48p49,p49p50,p50p51,p51p52,p52p53,p53p54,p54p55,p55p56,p56p57,p57p58,p58p59,p59p60,p60p61,p61p62,p62p63,p63p64,p64p65,p65p66,p66p67,p67p68,p68p69,p69p70,p70p71,p71p72,p72p73,p73p74,p74p75,p75p76,p76p77,p77p78,p78p79,p79p80,p80p81,p81p82,p82p83,p83p84,p84p85,p85p86,p86p87,p87p88,p88p89,p89p90,p90p91,p91p92,p92p93,p93p94,p94p95,p95p96,p96p97,p97p98,p98p99,p99p100
AD (EUR),-274392.943,-95346.815,-44204.016,-29701.068,-20763.591,-14310.904,-9511.370,-5851.833,-3046.126,-794.845,1136.202,2687.735,3974.613,5100.302,6184.624,7248.310,8267.125,9294.505,10296.967,11422.657,12637.993,14026.781,15593.110,17168.199,18808.211,20616.711,22585.913,24661.698,26831.023,29149.271,31589.287,34043.806,36597.510,39258.478,41956.044,44776.351,47632.867,50431.079,53199.992,55926.078,58667.446,61566.595,64552.859,67577.961,70770.772,74109.879,77575.523,80988.703,84343.287,87774.473,91274.087,94929.341,98689.329,102557.165,106430.646,110305.489,114335.292,118628.875,123159.470,127760.342,132596.378,137679.841,142863.268,148224.723,153775.983,159575.254,165613.680,171760.148,178267.830,185186.366,192285.850,199690.190,207645.938,216185.117,225120.063,234449.707,244322.679,254869.897,265966.187,277609.796,289927.943,303187.814,317736.023,333407.001,350270.831,368560.436,388639.270,411042.776,436358.084,465104.190,498220.580,537278.546,583978.157,641053.382,713802.701,808354.477,939614.725,1139925.529,1510548.512,2064163.717
AE (AED),-168884.494,-57265.236,-24199.258,-15264.758,-10276.500,-6928.123,-4460.707,-2616.249,-1193.087,-28.493,935.787,1687.315,2339.010,2902.069,3412.135,3916.994,4404.180,4916.890,5399.678,5918.190,6499.866,7212.810,8006.969,8769.236,9555.300,10444.274,11426.227,12403.378,13410.101,14514.228,15640.319,16763.631,17970.047,19226.218,20496.284,21836.099,23189.297,24494.116,25846.963,27210.792,28527.105,29922.530,31384.303,32864.990,34410.138,36036.177,37724.355,39361.025,40970.821,42635.822,44365.688,46181.842,48028.485,49940.667,51857.302,53764.547,55736.035,57847.722,60103.628,62409.126,64856.791,67414.894,70005.403,72704.810,75516.921,78489.331,81639.957,84860.305,88315.881,92043.138,95846.834,99820.059,104128.372,108753.425,113600.163,118634.505,124036.693,129946.032,136218.576,142786.194,149671.038,157224.684,165603.653,174668.313,184465.264,195451.658,207525.749,220828.461,236054.554,253197.767,273390.154,297668.792,326495.262,361703.255,406358.891,464481.073,545396.943,668215.348,898634.294,1243712.551
AF (AFN),-6829.189,-2365.370,-1083.751,-722.918,-503.824,-346.323,-228.373,-138.481,-69.558,-14.051,33.027,70.393,101.754,129.079,155.217,180.906,205.448,230.567,254.925,282.045,311.638,346.176,385.080,423.715,463.917,508.441,556.879,607.486,660.360,717.086,776.227,835.327,897.296,962.032,1027.635,1096.448,1166.006,1233.898,1301.462,1368.126,1434.937,1505.796,1578.874,1652.791,1730.809,1812.466,1897.176,1980.196,2061.574,2145.114,2230.749,2320.297,2412.015,2506.327,2600.726,2695.014,2792.990,2897.506,3008.118,3120.395,3238.656,3363.085,3489.733,3620.670,3756.393,3898.684,4047.418,4198.907,4359.793,4531.273,4706.878,4889.940,5087.132,5298.871,5520.576,5752.027,5997.182,6260.837,6539.178,6830.454,7137.880,7470.324,7836.445,8231.083,8655.776,9118.281,9625.735,10191.480,10832.758,11559.712,12403.323,13404.910,14601.111,16062.783,17924.702,20345.463,23707.562,28832.801,38331.573,52540.981
AG (XCD),-85369.653,-29110.452,-12568.295,-8042.078,-5463.185,-3697.573,-2385.812,-1399.402,-639.426,-19.131,495.881,897.376,1243.916,1543.453,1819.108,2092.071,2354.012,2629.698,2891.100,3173.977,3490.238,3875.420,4305.325,4719.964,5148.634,5630.896,6160.700,6693.608,7245.045,7846.938,8462.640,9074.985,9730.343,10414.714,11106.940,11837.016,12573.775,13285.448,14016.094,14748.989,15463.735,16222.539,17013.935,17814.547,18652.757,19533.599,20447.762,21335.287,22206.183,23106.410,24040.273,25020.349,26017.306,27046.982,28078.495,29105.638,30168.983,31306.539,32519.827,33757.250,35068.726,36443.074,37835.856,39282.800,40788.878,42379.937,44061.898,45780.348,47621.058,49601.036,51621.873,53730.763,56015.283,58467.926,61037.825,63710.821,66568.506,69686.579,72995.739,76456.171,80086.311,84057.544,88458.682,93214.912,98348.723,104066.785,110346.102,117286.542,125218.365,134160.163,144676.422,157305.056,172316.777,190655.047,213944.846,244258.672,286424.369,350452.179,470128.112,649177.360
AI (XCD),-348429.711,-118782.867,-51235.927,-32763.710,-22248.316,-15055.153,-9712.871,-5696.526,-2601.962,-75.867,2021.116,3655.978,5067.298,6287.089,7408.985,8519.833,9586.093,10708.389,11772.253,12923.098,14209.904,15777.816,17527.409,19214.712,20958.715,22921.201,25077.679,27245.737,29488.863,31937.562,34442.295,36933.386,39600.101,42384.609,45200.929,48171.244,51168.978,54064.225,57038.067,60021.759,62930.250,66017.826,69238.568,72496.977,75907.985,79492.754,83213.019,86824.741,90369.181,94033.012,97834.134,101823.326,105881.198,110072.701,114271.791,118452.913,122781.110,127411.642,132350.832,137388.781,142728.468,148323.572,153993.612,159884.862,166017.023,172495.509,179345.010,186343.250,193840.013,201904.846,210136.052,218726.295,228032.347,238023.329,248491.873,259379.812,271021.894,283726.442,297209.623,311309.853,326101.003,342284.174,360219.932,379603.747,400527.457,423839.505,449440.731,477733.163,510069.557,546521.256,589394.673,640883.555,702085.308,776848.638,871793.780,995374.019,1167276.304,1428300.095,1916261.556,2646332.170
AL (ALL),-61747.630,-21488.013,-10012.357,-6743.355,-4716.380,-3252.304,-2168.188,-1341.776,-707.995,-200.074,238.284,592.791,885.230,1141.555,1389.241,1632.144,1865.096,2098.442,2326.697,2583.911,2860.314,3172.747,3525.008,3881.308,4252.317,4660.598,5105.568,5576.210,6067.903,6592.546,7147.526,7707.829,8288.724,8893.317,9506.271,10146.036,10794.635,11431.042,12059.762,12678.612,13301.407,13958.910,14636.077,15322.676,16046.879,16804.110,17590.244,18366.435,19130.589,19910.868,20705.044,21534.290,22389.169,23268.871,24150.265,25032.729,25950.909,26928.456,27958.472,29005.182,30104.331,31258.818,32437.079,33656.210,34918.075,36234.353,37602.653,38995.349,40467.947,42031.694,43638.014,45313.686,47111.940,49041.438,51059.399,53166.241,55395.372,57768.900,60261.618,62881.305,65655.252,68634.241,71895.776,75407.876,79187.918,83282.694,87779.911,92798.107,98460.597,104894.879,112279.852,120959.183,131340.248,144029.744,160208.906,181236.150,210416.956,254957.895,337297.724,460102.134
AM (AMD),-88857.987,-30799.211,-14149.571,-9455.621,-6595.874,-4537.275,-2997.308,-1823.366,-923.399,-199.244,416.321,906.041,1316.065,1673.594,2016.128,2352.592,2674.180,3002.328,3320.965,3676.436,4063.389,4513.139,5019.970,5524.584,6049.791,6630.928,7263.194,7925.101,8616.818,9358.238,10132.676,10907.516,11718.682,12565.596,13423.945,14323.712,15233.559,16122.330,17005.492,17876.339,18749.944,19675.987,20630.703,21596.620,22616.296,23683.281,24790.252,25876.204,26941.180,28033.584,29152.174,30321.567,31520.288,32752.950,33986.837,35219.670,36500.881,37867.345,39312.641,40779.658,42324.157,43949.082,45603.534,47314.120,49086.782,50943.772,52883.194,54858.226,56954.311,59187.225,61474.775,63859.692,66427.327,69184.197,72070.518,75084.018,78275.109,81702.301,85317.928,89103.453,93100.974,97419.795,102172.750,107295.224,112807.488,118804.189,125384.288,132722.139,141034.109,150460.166,161382.918,174334.340,189806.530,208713.046,232799.932,264113.280,307600.026,373910.566,496762.635,680513.914
AO (AOA),-80222.188,-25590.169,-8348.580,-4453.937,-2736.832,-1863.959,-1321.842,-950.819,-671.752,-445.359,-248.500,-91.792,51.003,189.154,276.908,348.028,436.284,505.915,552.386,595.466,641.481,697.564,761.811,820.652,877.854,958.011,1062.696,1158.248,1248.948,1346.331,1448.418,1573.655,1700.267,1815.241,1935.343,2055.808,2180.721,2308.807,2467.019,2631.702,2755.869,2880.939,3029.364,3185.029,3338.882,3510.206,3684.755,3851.248,4035.226,4217.427,4408.480,4607.474,4810.403,5038.256,5270.758,5498.490,5725.271,5984.893,6262.178,6557.729,6888.200,7204.827,7524.980,7897.998,8285.355,8679.439,9115.440,9559.149,10041.897,10589.743,11163.405,11780.684,12454.176,13182.640,13948.708,14727.395,15620.948,16629.606,17693.122,18837.109,20060.081,21465.780,23038.515,24808.516,26777.040,29135.001,31785.944,34613.980,37860.424,41502.221,45769.647,50853.961,56832.245,64071.561,72895.796,84271.132,100619.364,125974.690,178659.280,262542.830
AR (ARS),-68144.428,-23547.243,-10692.687,-7087.922,-4922.618,-3374.837,-2213.434,-1329.394,-651.233,-103.529,358.266,722.519,1030.447,1298.141,1552.814,1803.567,2042.909,2290.062,2528.673,2792.852,3082.907,3425.444,3810.608,4190.257,4584.975,5023.390,5500.549,5995.635,6512.480,7068.663,7645.578,8220.239,8825.841,9459.235,10100.892,10775.095,11455.948,12118.898,12781.957,13437.855,14092.830,14788.302,15506.594,16232.673,16998.480,17800.474,18632.316,19445.453,20241.792,21060.905,21903.243,22784.907,23685.868,24612.458,25539.850,26465.455,27426.673,28452.646,29540.439,30644.979,31809.839,33035.609,34281.844,35570.463,36907.345,38311.993,39783.860,41284.072,42880.382,44584.736,46328.218,48145.512,50105.875,52210.996,54415.788,56716.456,59156.093,61789.731,64575.095,67486.673,70554.850,73881.325,77551.580,81509.408,85769.887,90426.723,95535.485,101224.997,107686.720,115003.268,123527.328,133682.474,145799.808,160605.611,179457.639,203975.669,238034.201,289905.385,386149.879,530133.625
AT (EUR),-536345.723,-167020.159,-48663.334,-24824.144,-14452.752,-7867.371,-3415.906,-1033.796,-77.594,250.264,635.628,1052.045,1496.908,2002.956,2585.756,3233.575,3941.506,4883.370,5951.057,6781.743,7536.523,8512.046,9679.869,10894.846,11993.125,13002.232,14126.044,15548.654,17173.761,18682.706,20090.518,21587.809,23204.175,25078.089,27109.184,29147.104,31535.194,34396.593,37004.814,39719.535,42647.794,45735.842,49304.482,52681.821,55765.804,58854.618,61493.969,63540.936,65812.635,69217.116,73112.848,77136.702,81375.627,85148.374,88653.068,92390.622,96193.118,100058.257,104101.893,108357.686,112712.772,116849.491,121132.043,125725.049,130442.573,135356.306,140559.331,145535.477,151304.739,157819.273,163176.949,168554.407,174417.978,181031.806,188103.913,195526.652,204384.958,213114.835,221237.838,229278.339,238146.613,247186.944,256614.402,268754.281,282944.731,300567.265,323186.417,343313.278,362793.625,387720.205,417195.014,459564.098,508551.993,554303.783,615132.144,700692.718,793558.259,916071.662,1189867.798,1711185.024
AU (AUD),-350367.603,-121997.762,-56952.765,-38386.679,-26848.700,-18515.295,-12356.173,-7661.875,-4061.150,-1176.542,1319.194,3342.759,5008.679,6470.071,7883.857,9270.387,10600.790,11930.201,13231.651,14700.116,16275.415,18048.500,20046.959,22072.798,24182.103,26501.520,29030.469,31708.357,34505.530,37488.576,40650.465,43847.222,47157.099,50600.695,54091.939,57733.404,61426.570,65052.483,68632.982,72157.480,75705.015,79447.648,83302.202,87211.890,91334.461,95644.685,100119.896,104542.951,108900.449,113347.121,117869.773,122591.782,127463.888,132478.192,137503.250,142536.208,147773.859,153348.433,159218.900,165186.524,171450.785,178028.269,184743.526,191692.676,198884.654,206382.990,214173.000,222102.230,230482.289,239377.081,248517.844,258053.972,268282.848,279256.710,290731.283,302710.082,315383.738,328861.361,343006.253,357880.621,373635.431,390539.030,409029.923,428938.903,450368.711,473575.036,499066.614,527510.756,559590.407,596051.257,637838.765,686882.029,745546.748,817262.001,908709.749,1027561.752,1192474.096,1444196.555,1909369.776,2602617.151
AW (AWG),-119158.592,-40611.486,-17499.774,-11182.960,-7590.552,-5135.420,-3312.668,-1942.660,-886.993,-25.172,690.169,1247.799,1729.325,2145.484,2527.989,2906.749,3270.353,3653.083,4015.784,4407.988,4846.612,5381.235,5977.797,6552.885,7147.282,7816.338,8551.665,9290.555,10054.843,10889.416,11742.936,12591.944,13500.907,14449.929,15409.778,16422.182,17443.925,18430.616,19444.599,20462.192,21453.619,22506.083,23604.110,24715.084,25877.892,27100.023,28368.348,29599.591,30808.007,32057.205,33353.274,34713.537,36097.214,37526.544,38958.536,40384.347,41860.232,43439.244,45123.683,46842.001,48663.309,50571.549,52505.276,54514.702,56606.412,58816.316,61153.075,63540.675,66098.573,68850.633,71659.444,74590.915,77766.803,81176.416,84749.020,88464.538,92438.097,96774.808,101377.409,106190.909,111240.030,116765.172,122888.907,129507.340,136652.050,144614.867,153359.882,163022.792,174067.664,186517.415,201161.732,218750.015,239655.072,265192.143,297620.845,339830.065,398545.961,487700.352,654394.588,903805.590
AZ (AZN),-56079.181,-19452.395,-8961.846,-5999.665,-4188.689,-2883.377,-1908.387,-1164.887,-595.085,-136.923,253.488,564.986,825.041,1051.933,1269.741,1483.608,1688.063,1896.019,2098.285,2324.301,2569.800,2853.715,3173.860,3493.456,3826.187,4193.943,4594.205,5014.059,5452.848,5922.830,6414.703,6907.561,7422.637,7960.042,8504.779,9075.347,9652.592,10217.030,10776.982,11328.833,11882.874,12469.860,13074.905,13687.174,14333.482,15009.670,15711.360,16400.464,17076.542,17769.586,18478.281,19219.045,19979.073,20760.662,21543.237,22325.264,23138.157,24004.899,24921.113,25851.009,26829.719,27859.106,28907.646,29991.758,31115.054,32290.776,33517.503,34766.557,36091.243,37501.519,38946.928,40454.068,42075.804,43816.840,45639.418,47542.442,49557.107,51717.450,53994.906,56380.719,58901.594,61622.326,64613.950,67837.719,71306.768,75076.698,79213.835,83828.508,89051.947,94977.842,101833.304,109950.079,119649.297,131501.963,146604.338,166235.795,193496.860,235077.398,312083.279,427233.812
BA (BAM),-43646.576,-15188.178,-7075.810,-4765.302,-3332.924,-2298.247,-1532.028,-947.943,-499.967,-141.014,168.808,419.282,625.858,807.010,982.032,1153.619,1318.177,1483.061,1644.349,1826.074,2021.368,2242.250,2491.252,2743.034,3005.280,3293.848,3608.331,3940.879,4288.387,4659.193,5051.336,5447.239,5857.692,6284.904,6718.084,7170.147,7628.505,8078.197,8522.494,8959.761,9399.889,9864.541,10343.009,10828.262,11340.000,11875.119,12430.674,12979.118,13519.059,14070.446,14631.642,15217.607,15821.720,16443.246,17066.079,17689.567,18338.314,19029.080,19756.877,20496.446,21273.128,22088.967,22921.483,23782.937,24674.556,25604.678,26571.668,27555.825,28596.551,29701.694,30836.839,32021.032,33291.959,34655.587,36081.753,37570.782,39146.218,40823.920,42585.903,44437.564,46398.194,48504.007,50809.611,53292.361,55964.602,58859.360,62038.517,65586.027,69589.198,74137.869,79359.239,85496.508,92837.016,101809.693,113249.834,128118.053,148751.753,180246.577,238470.596,325312.911
BB (BBD),-44201.366,-15069.338,-6501.175,-4157.790,-2823.578,-1910.745,-1232.747,-722.999,-330.261,-9.679,256.471,463.954,643.070,797.878,940.260,1081.256,1216.583,1359.039,1494.069,1640.164,1803.488,2002.506,2224.569,2438.736,2660.106,2909.225,3182.924,3458.133,3742.872,4053.701,4371.635,4687.860,5026.339,5379.769,5737.258,6114.303,6494.813,6862.328,7239.794,7618.472,7987.645,8379.567,8788.345,9201.951,9634.889,10089.907,10562.104,11020.538,11470.433,11935.476,12417.921,12924.253,13439.273,13971.275,14504.242,15034.906,15584.260,16171.981,16798.863,17438.270,18115.970,18826.097,19545.730,20293.433,21071.706,21893.917,22763.210,23651.364,24602.788,25626.269,26670.865,27761.033,28942.020,30209.917,31538.436,32920.174,34397.584,36009.777,37720.811,39510.090,41387.071,43440.668,45716.625,48176.302,50831.383,53789.323,57037.720,60627.689,64730.749,69356.008,74796.027,81329.134,89094.740,98581.133,110628.396,126309.071,148121.054,181241.434,243155.338,335788.165
BD (BDT),-59290.857,-20514.944,-9362.747,-6228.571,-4334.595,-2976.185,-1957.730,-1181.893,-586.945,-107.194,298.569,619.653,890.056,1125.408,1349.992,1570.892,1781.828,1998.635,2208.447,2441.472,2696.451,2995.723,3332.575,3665.919,4012.667,4397.202,4815.585,5251.342,5706.501,6195.475,6704.035,7211.416,7744.694,8302.105,8866.898,9459.808,10058.856,10642.914,11225.397,11800.752,12376.508,12987.510,13618.028,14255.569,14928.332,15632.627,16363.188,17078.300,17778.934,18498.838,19237.894,20011.065,20802.087,21615.506,22429.640,23242.540,24086.971,24988.032,25942.470,26911.356,27932.455,29006.963,30100.034,31230.154,32402.044,33631.892,34918.868,36230.118,37623.900,39110.636,40632.345,42218.576,43928.363,45764.350,47687.034,49693.876,51820.527,54111.714,56532.626,59064.602,61735.022,64626.252,67813.224,71249.113,74947.047,78980.595,83405.806,88337.201,93932.020,100271.006,107641.010,116405.572,126868.927,139654.070,155937.072,177110.275,206519.521,251332.846,334428.623,458743.607
BE (EUR),-89520.671,-29482.514,-10771.711,-5882.133,-3197.869,-1345.437,-373.384,1.017,51.174,169.620,372.537,617.901,1005.943,1660.953,2942.168,4739.444,6468.601,7845.640,9024.761,10536.005,12734.964,15712.886,19039.706,22557.837,26172.299,30077.624,34592.546,39420.783,43804.466,47574.569,51081.854,54274.470,57890.288,61522.797,64933.496,68355.887,71375.070,74774.839,78604.928,82185.415,85339.312,88631.565,92702.781,96813.479,100415.488,104168.900,107348.722,109933.180,113542.221,118271.752,124114.234,129792.519,134444.272,138868.454,142917.642,146968.609,152032.297,157021.596,161267.092,167459.404,175571.082,182870.329,190234.137,197615.653,203611.911,210964.705,219314.291,224976.224,229882.238,235533.664,242053.694,248747.749,256081.395,265276.285,274943.771,284255.074,295059.912,306807.996,317079.320,327567.624,339955.977,356570.932,375731.796,393741.498,410756.780,427322.510,450855.279,480621.284,509638.317,541820.177,576886.676,615980.758,666041.588,740083.300,843539.237,976067.194,1151983.446,1457843.113,2063067.495,2571429.597
BF (XOF),-9802.871,-3357.777,-1474.641,-954.616,-653.306,-443.819,-287.336,-169.127,-78.181,-4.151,57.515,105.665,147.022,182.805,216.131,249.099,280.634,313.742,345.308,379.690,417.976,464.294,516.085,566.298,618.306,676.578,740.348,805.092,872.310,945.362,1020.334,1094.796,1174.198,1257.248,1341.285,1429.862,1519.227,1605.713,1693.779,1781.734,1868.212,1960.091,2055.587,2152.127,2253.464,2359.841,2470.200,2577.511,2682.662,2791.256,2903.699,3021.642,3141.705,3265.487,3389.439,3512.940,3640.934,3777.749,3923.447,4071.809,4228.817,4393.660,4560.845,4734.173,4914.427,5104.668,5305.300,5510.174,5729.248,5964.356,6204.404,6454.755,6725.684,7016.579,7321.350,7638.697,7976.994,8345.187,8735.756,9143.875,9572.412,10040.043,10557.802,11116.907,11719.803,12387.400,13120.152,13932.149,14858.709,15904.498,17132.129,18604.068,20355.642,22495.578,25215.890,28756.265,33678.060,41156.333,55096.432,75944.630
BG (BGN),-78397.530,-27137.464,-12405.132,-8261.844,-5753.072,-3952.041,-2602.249,-1573.775,-785.214,-149.637,388.533,814.894,1173.456,1485.680,1783.936,2077.173,2357.243,2644.587,2922.984,3232.370,3570.637,3966.736,4412.665,4854.593,5314.345,5823.999,6378.392,6956.573,7560.651,8209.176,8884.326,9558.313,10266.053,11005.656,11755.079,12541.603,13336.347,14111.595,14884.078,15646.669,16410.350,17220.589,18056.507,18901.808,19793.958,20727.791,21696.470,22645.143,23574.829,24529.686,25509.348,26534.041,27582.884,28661.408,29740.877,30818.892,31938.808,33133.651,34398.913,35683.306,37036.516,38460.508,39909.379,41407.353,42960.395,44589.674,46293.809,48029.806,49874.484,51841.521,53855.332,55954.474,58216.566,60645.609,63189.225,65844.361,68657.427,71686.037,74885.017,78231.525,81762.006,85582.523,89792.447,94330.816,99215.017,104539.036,110380.131,116890.628,124274.362,132641.905,142363.240,153916.524,167711.458,184567.519,206036.950,233952.499,272725.376,331817.070,441366.011,605252.733
BH (BHD),-592861.695,-189215.506,-61881.230,-33063.517,-20327.201,-13832.327,-9788.755,-7019.291,-4933.691,-3240.489,-1770.731,-600.483,464.808,1492.066,2148.136,2683.158,3343.617,3868.400,4223.497,4554.092,4908.092,5340.352,5834.416,6287.521,6728.558,7341.841,8139.072,8865.723,9555.803,10299.642,11077.856,12026.488,12988.651,13865.605,14780.227,15698.872,16651.892,17626.123,18824.895,20073.769,21020.938,21975.787,23105.076,24288.855,25460.199,26761.734,28089.234,29356.392,30751.181,32135.365,33585.740,35096.457,36637.527,38364.373,40125.596,41851.345,43571.244,45535.797,47635.660,49871.564,52367.849,54764.296,57187.806,60002.617,62926.773,65905.419,69197.838,72548.768,76193.724,80326.892,84650.957,89300.497,94372.789,99857.959,105625.817,111490.586,118213.658,125797.594,133793.311,142392.071,151578.149,162128.662,173931.341,187200.485,201949.628,219611.956,239458.623,260631.328,284940.662,312205.602,344161.407,382249.310,427036.514,481282.244,547462.306,632792.372,755335.946,945260.549,1339043.380,1965155.832
BI (BIF),-3529.792,-1210.834,-534.730,-347.499,-238.400,-162.174,-105.151,-62.014,-28.841,-1.867,20.632,38.216,53.290,66.339,78.536,90.598,102.125,114.210,125.753,138.355,152.365,169.267,188.182,206.556,225.599,246.907,270.199,293.923,318.579,345.336,372.830,400.134,429.206,459.625,490.410,522.849,555.575,587.272,619.457,651.554,683.195,716.817,751.725,787.008,824.076,862.973,903.323,942.582,981.037,1020.735,1061.808,1104.881,1148.743,1193.939,1239.192,1284.291,1331.046,1381.011,1434.191,1488.314,1545.563,1605.701,1666.712,1729.927,1795.646,1864.975,1938.028,2012.608,2092.306,2177.771,2265.047,2356.054,2454.503,2560.211,2670.957,2786.315,2909.175,3042.760,3184.429,3332.439,3487.917,3657.428,3845.038,4047.583,4265.922,4507.208,4772.005,5065.688,5400.609,5778.793,6222.379,6753.887,7386.614,8159.650,9142.627,10421.849,12199.932,14902.322,19935.600,27462.894
BJ (XOF),-15653.572,-5407.268,-2452.274,-1624.062,-1127.318,-772.566,-506.342,-303.742,-148.310,-22.729,83.078,166.477,237.042,298.371,356.671,414.088,468.889,525.539,580.199,640.670,707.117,785.697,874.034,961.025,1051.458,1151.940,1261.314,1374.690,1493.030,1620.431,1752.500,1884.009,2022.686,2167.744,2314.688,2469.116,2625.051,2776.839,2928.762,3079.101,3229.146,3388.487,3553.091,3719.472,3894.930,4078.697,4269.300,4455.560,4637.957,4825.618,5018.676,5220.771,5427.235,5639.583,5852.115,6064.218,6284.465,6519.564,6768.886,7022.067,7289.117,7570.126,7855.786,8151.178,8457.665,8779.777,9117.413,9461.582,9827.889,10219.080,10619.200,11036.258,11486.227,11969.426,12475.516,13003.574,13563.628,14168.497,14808.345,15477.118,16181.719,16945.885,17789.208,18698.658,19677.704,20748.401,21922.995,23230.895,24716.676,26398.753,28359.349,30696.048,33483.902,36890.274,41227.304,46868.072,54703.970,66636.563,88780.556,121907.840
BM (BMD),-442317.977,-150588.245,-64624.747,-41184.430,-27905.849,-18864.825,-12162.448,-7130.586,-3252.124,-84.010,2544.040,4592.441,6362.968,7892.887,9294.949,10683.167,12017.273,13421.914,14751.177,16186.506,17792.908,19753.404,21940.086,24046.126,26221.754,28672.940,31369.787,34074.004,36868.916,39923.701,43045.862,46153.021,49482.154,52956.200,56469.565,60175.480,63916.136,67527.250,71245.114,74979.874,78611.623,82465.818,86490.403,90563.203,94823.342,99302.086,103950.481,108461.597,112890.914,117470.302,122223.236,127211.988,132285.908,137530.006,142784.158,148015.149,153428.109,159220.799,165402.114,171710.075,178398.713,185402.916,192499.603,199878.113,207560.133,215677.415,224265.227,233040.535,242445.233,252569.176,262901.564,273686.848,285373.766,297920.523,311067.509,324736.715,339365.509,355339.464,372293.798,390028.962,408629.230,428994.496,451570.553,475975.142,502326.543,531734.465,564035.732,599705.400,640489.361,686449.043,740528.219,805497.112,882699.356,977005.057,1096731.785,1252568.497,1469381.942,1798558.870,2414452.987,3336109.559
BN (BND),-140321.455,-48721.463,-22526.066,-15112.642,-10559.896,-7274.767,-4826.357,-2959.327,-1528.092,-378.709,604.190,1391.346,2046.174,2618.357,3168.566,3708.623,4225.392,4748.490,5258.093,5829.321,6447.484,7157.966,7959.095,8762.134,9598.375,10521.320,11526.075,12583.020,13687.737,14869.246,16109.634,17355.276,18653.706,20007.432,21379.788,22815.920,24269.608,25692.363,27101.862,28489.983,29885.031,31361.649,32882.933,34423.326,36049.349,37750.135,39515.174,41251.191,42956.037,44701.489,46483.845,48345.979,50259.348,52227.177,54197.514,56167.850,58216.413,60399.930,62705.622,65046.547,67508.333,70096.952,72735.254,75463.725,78289.530,81243.960,84323.194,87457.722,90779.038,94312.220,97935.690,101714.418,105777.147,110138.449,114702.779,119468.825,124513.140,129911.203,135595.537,141555.513,147857.413,154649.210,162108.615,170144.980,178792.701,188179.209,198482.214,209976.759,222975.153,237729.270,254758.983,274879.514,298931.044,328324.148,365783.593,414472.094,482072.865,585215.174,776134.080,1061480.813
BO (BOB),-44843.536,-14922.206,-5857.242,-3521.777,-2302.065,-1539.132,-996.456,-599.610,-292.612,-40.181,168.435,331.779,475.116,599.758,705.450,808.839,911.721,1017.729,1114.591,1216.163,1330.558,1472.481,1630.057,1779.585,1932.344,2108.871,2308.424,2500.541,2695.108,2911.456,3130.741,3353.870,3594.808,3841.725,4091.283,4354.002,4620.608,4877.285,5152.447,5433.968,5695.250,5970.095,6263.087,6561.698,6869.753,7195.722,7534.536,7861.878,8187.805,8524.569,8875.235,9243.349,9617.739,10009.768,10403.656,10794.756,11196.524,11629.621,12094.196,12572.460,13083.554,13611.315,14144.908,14708.752,15297.187,15918.112,16581.776,17260.227,17991.640,18788.247,19602.198,20456.203,21384.339,22380.837,23425.713,24505.932,25681.027,26975.101,28347.129,29792.147,31307.006,32985.124,34850.711,36878.966,39082.057,41605.139,44387.644,47421.101,50904.809,54814.665,59428.513,64983.594,71557.777,79579.070,89693.896,102846.467,121234.847,149165.188,202404.807,282715.861
BQ (UNK),-59452.980,-20259.476,-8724.734,-5573.158,-3781.900,-2558.360,-1650.130,-967.670,-441.746,-12.327,344.016,621.838,861.751,1069.115,1259.592,1448.212,1629.318,1819.964,2000.606,2195.896,2414.320,2680.575,2977.690,3264.081,3560.014,3893.181,4259.445,4627.355,5007.846,5423.418,5848.362,6271.069,6723.748,7196.270,7674.237,8178.293,8687.077,9178.385,9683.370,10190.254,10683.968,11208.077,11754.898,12308.220,12887.294,13495.918,14127.593,14740.735,15342.521,15964.697,16610.218,17287.697,17976.869,18688.796,19402.074,20112.270,20847.373,21633.853,22472.892,23328.816,24236.160,25186.690,26149.928,27150.906,28192.960,29293.863,30458.090,31647.646,32922.140,34293.477,35693.057,37153.807,38736.392,40435.450,42215.774,44067.189,46047.404,48208.767,50502.645,52901.726,55418.166,58172.069,61224.439,64523.517,68085.009,72055.107,76415.278,81232.647,86739.272,92946.046,100247.307,109016.747,119439.484,132171.635,148339.178,169382.897,198656.834,243105.738,326221.292,450583.009
