country,p0p1,p1p2,p2p3,p3p4,p4p5,p5p6,p6p7,p7p8,p8p9,p9p10,p10p11,p11p12,p12p13,p13p14,p14p15,p15p16,p16p17,p17p18,p18p19,p19p20,p20p21,p21p22,p22p23,p23p24,p24p25,p25p26,p26p27,p27p28,p28p29,p29p30,p30p31,p31p32,p32p33,p33p34,p34p35,p35p36,p36p37,p37p38,p38p39,p39p40,p40p41,p41p42,p42p43,p43p44,p44p45,p45p46,p46p47,p47p48,p48p49,p49p50,p50p51,p51p52,p52p53,p53p54,p54p55,p55p56,p56p57,p57p58,p58p59,p59p60,p60p61,p61p62,p62p63,p63p64,p64p65,p65p66,p66p67,p67p68,p68p69,p69p70,p70p71,p71p72,p72p73,p73p74,p74p75,p75p76,p76p77,p77p78,p78p79,p79p80,p80p81,p81p82,p82p83,p83p84,p84p85,p85p86,p86p87,p87p88,p88p89,p89p90,p90p91,p91p92,p92p93,p93p94,p94p95,p95p96,p96p97,p97p98,p98p99,p99p100
ML (XOF),-12965.415,-4471.518,-2015.512,-1328.940,-920.027,-629.355,-411.201,-245.380,-118.098,-15.084,71.448,139.456,197.220,247.362,294.850,341.673,386.357,432.757,477.412,526.642,580.925,645.505,718.018,789.142,863.030,945.273,1034.856,1127.310,1223.729,1327.737,1435.274,1542.219,1655.304,1773.643,1893.491,2019.550,2146.789,2270.471,2394.694,2517.847,2640.422,2770.644,2905.317,3041.419,3184.835,3335.110,3490.972,3643.081,3792.004,3945.384,4103.445,4268.991,4437.936,4611.748,4785.717,4959.266,5139.413,5331.764,5535.954,5743.397,5962.365,6192.726,6426.767,6668.851,6920.163,7184.595,7462.164,7745.225,8046.831,8369.260,8698.878,9042.452,9413.426,9811.793,10229.074,10664.304,11126.321,11626.296,12155.635,12708.706,13290.898,13923.212,14621.652,15375.054,16186.333,17075.798,18051.597,19137.197,20371.791,21768.526,23399.733,25347.123,27669.170,30506.333,34117.612,38815.332,45341.948,55275.184,73723.494,101319.060
MM (MMK),-29103.304,-10061.922,-4578.282,-3039.202,-2112.505,-1449.165,-951.543,-572.637,-282.015,-47.443,150.570,306.945,438.947,553.754,663.110,770.738,873.483,979.392,1081.736,1195.186,1319.586,1466.151,1631.023,1793.780,1963.032,2150.906,2355.351,2567.798,2789.634,3028.194,3275.898,3522.779,3782.685,4054.458,4329.799,4619.008,4911.122,5195.699,5479.995,5761.055,6041.962,6340.175,6648.068,6959.329,7287.692,7631.522,7988.156,8336.952,8678.591,9029.859,9390.849,9768.620,10154.828,10551.999,10949.512,11346.322,11758.449,12198.291,12664.464,13137.759,13636.770,14161.885,14695.884,15248.014,15820.712,16422.174,17052.088,17694.035,18376.823,19105.562,19851.186,20628.390,21466.533,22366.558,23309.155,24292.857,25335.691,26460.597,27649.885,28893.303,30204.030,31624.340,33190.874,34880.001,36698.143,38683.771,40862.119,43288.741,46043.595,49163.667,52795.845,57120.127,62280.976,68586.918,76616.941,87059.687,101565.372,123662.019,164650.757,225971.866
MN (MNT),-105500.244,-36476.897,-16601.133,-11022.107,-7662.011,-5256.449,-3451.916,-2077.833,-1023.924,-173.335,544.784,1111.980,1590.689,2007.061,2403.718,2794.091,3166.759,3550.825,3922.002,4333.514,4784.676,5316.082,5913.886,6504.130,7117.940,7799.239,8540.620,9311.144,10115.749,10980.941,11879.405,12774.945,13717.622,14703.313,15701.955,16750.853,17810.307,18842.488,19873.518,20892.741,21911.508,22993.013,24109.576,25238.373,26429.219,27676.135,28969.491,30234.496,31473.566,32747.499,34056.596,35426.516,36827.102,38267.436,39709.010,41148.062,42642.682,44237.789,45928.318,47644.664,49454.196,51358.391,53294.850,55297.052,57373.803,59554.731,61838.701,64166.260,66641.789,69283.793,71987.083,74804.887,77843.515,81106.494,84523.787,88090.145,91870.782,95948.577,100259.602,104766.943,109518.452,114666.898,120345.141,126467.676,133057.804,140254.344,148149.382,156944.482,166928.749,178237.005,191400.103,207070.179,225772.183,248623.804,277723.467,315566.312,368132.296,448208.373,596743.318,818958.794
MO (MOP),-379083.500,-131239.860,-60026.283,-39993.025,-27854.885,-19137.664,-12605.754,-7628.533,-3812.219,-736.993,1867.948,3932.555,5668.144,7179.603,8623.808,10043.684,11399.854,12790.656,14138.040,15636.628,17273.764,19189.556,21346.831,23485.658,25710.943,28176.977,30859.902,33658.917,36583.137,39722.259,42991.389,46255.650,49682.278,53262.761,56890.993,60698.163,64545.694,68299.227,72038.076,75728.939,79425.559,83347.196,87392.774,91484.063,95802.115,100321.856,105010.372,109602.814,114103.465,118725.452,123466.606,128425.491,133501.825,138721.757,143946.397,149164.177,154585.091,160368.730,166492.165,172707.899,179256.474,186147.316,193159.116,200408.504,207924.213,215807.262,224051.311,232449.478,241371.909,250885.300,260625.200,270778.519,281718.714,293466.148,305767.410,318608.429,332212.543,346855.114,362319.523,378498.239,395568.370,414037.758,434386.626,456322.597,479929.987,505657.039,533883.483,565346.462,601024.606,641459.907,688424.570,744226.470,810859.004,892278.255,995983.670,1130823.905,1318105.978,1603548.867,2132688.214,2924279.367
MR (MRU),-31345.817,-10863.030,-4987.541,-3331.624,-2323.548,-1598.097,-1055.263,-641.474,-324.246,-68.941,147.966,320.435,464.918,590.881,711.518,830.025,943.290,1058.944,1171.209,1296.396,1432.746,1591.381,1770.129,1947.986,2133.096,2337.960,2560.844,2794.069,3037.789,3299.072,3571.877,3844.734,4130.498,4428.893,4731.308,5048.364,5368.945,5682.038,5993.257,6300.186,6608.021,6934.371,7270.857,7611.265,7970.614,8346.645,8736.765,9119.387,9494.580,9879.504,10273.752,10685.933,11108.370,11542.762,11977.575,12411.993,12863.431,13344.942,13854.304,14371.313,14915.689,15488.425,16071.523,16674.400,17299.186,17953.817,18637.636,19334.045,20073.246,20860.806,21667.553,22508.627,23414.247,24386.626,25404.693,26467.599,27593.208,28802.487,30078.458,31414.231,32824.636,34348.737,36026.319,37834.393,39780.067,41897.226,44220.322,46810.791,49745.605,53073.490,56931.121,61506.627,66972.331,73651.198,82159.789,93221.362,108583.496,132006.881,175406.398,240322.128
MS (XCD),-178564.125,-60843.657,-26194.357,-16728.988,-11350.700,-7677.935,-4952.155,-2903.898,-1325.559,-36.736,1032.766,1866.465,2586.582,3208.903,3780.489,4346.514,4890.003,5462.085,6004.183,6590.066,7245.448,8044.497,8935.980,9795.196,10683.204,11682.908,12781.997,13885.852,15027.435,16274.261,17549.184,18817.455,20175.679,21593.474,23027.452,24539.965,26066.478,27540.468,29055.960,30577.012,32058.449,33630.930,35271.919,36932.168,38669.761,40496.016,42391.374,44231.231,46037.033,47903.896,49841.052,51874.119,53942.034,56078.556,58218.950,60350.209,62556.032,64916.244,67434.120,70002.831,72725.732,75578.399,78468.894,81472.971,84600.261,87904.280,91398.429,94968.631,98793.799,102909.772,107110.735,111495.176,116245.385,121345.177,126688.815,132245.916,138189.733,144677.634,151563.372,158765.035,166318.864,174585.860,183749.005,193652.819,204344.561,216264.166,229355.040,243818.038,260350.639,278985.012,300905.829,327235.116,358527.776,396754.030,445293.650,508472.896,596362.580,729811.338,979361.517,1352755.092
MT (EUR),-91270.942,-31755.070,-12445.433,-3747.396,-277.680,51.073,374.402,863.540,1528.518,2371.996,3770.016,5819.298,8383.715,11430.208,14275.068,16175.224,17915.610,20318.311,22734.933,24386.068,26076.198,29222.279,32284.227,34730.736,37124.328,39923.847,42408.532,44329.466,46433.403,48792.299,51498.882,53476.211,55389.980,57520.120,60244.308,63058.053,64774.795,66292.361,67819.446,69210.198,71077.499,73561.878,76653.200,79822.925,82132.077,83963.965,85710.696,87371.656,89029.239,90915.373,93159.123,95993.441,99188.753,102139.854,104821.771,106760.718,108430.685,110968.082,114204.642,116598.029,118771.873,121910.073,125066.492,128219.942,131218.637,133535.466,135783.105,138813.426,143384.138,148402.330,153562.382,158440.967,161687.762,164586.971,168582.365,173557.570,178528.169,185234.036,193084.397,199355.679,206016.306,214230.220,223235.823,235790.056,247633.354,254903.485,263654.233,273306.390,281975.154,295511.756,318549.752,350753.634,391710.821,429811.071,473281.194,556977.509,699926.244,921660.979,1285863.603,1897865.287
MU (MUR),-105827.635,-36268.721,-15960.841,-10346.972,-7087.486,-4817.188,-3120.362,-1837.890,-851.365,-48.643,620.337,1142.853,1591.342,1979.448,2341.401,2699.412,3041.757,3400.984,3743.724,4117.347,4533.162,5035.710,5597.802,6143.139,6708.118,7340.827,8032.927,8736.424,9467.091,10260.754,11075.629,11884.911,12747.430,13649.702,14562.754,15525.027,16495.849,17435.650,18391.646,19345.914,20285.080,21282.944,22319.688,23367.686,24468.118,25623.102,26821.298,27986.640,29128.378,30307.316,31527.722,32807.718,34110.872,35454.125,36799.165,38139.420,39528.606,41013.395,42594.273,44203.746,45906.698,47694.990,49508.889,51389.007,53344.033,55407.059,57582.064,59802.898,62177.101,64724.354,67325.289,70037.679,72972.604,76123.877,79425.414,82863.643,86527.603,90513.961,94742.213,99160.175,103799.805,108861.084,114464.137,120514.116,127037.180,134254.988,142176.784,150958.074,160976.173,172285.167,185556.824,201465.941,220400.056,243532.507,272941.928,311216.265,364421.703,445270.790,595933.335,821253.728
MV (MVR),-120511.642,-41773.168,-19195.311,-12829.320,-8949.850,-6156.912,-4067.820,-2475.246,-1254.358,-272.043,563.127,1227.687,1783.983,2269.091,2733.914,3190.480,3626.880,4072.059,4504.394,4986.768,5511.773,6121.761,6809.190,7493.766,8206.281,8994.620,9852.317,10750.386,11688.899,12694.780,13745.621,14797.121,15897.764,17046.869,18211.490,19432.243,20666.712,21872.664,23070.874,24252.309,25437.579,26693.934,27989.156,29299.600,30682.990,32130.541,33632.362,35105.776,36550.791,38032.930,39550.456,41136.873,42763.194,44435.569,46109.608,47782.268,49520.586,51374.536,53335.356,55325.637,57420.949,59625.350,61869.892,64190.591,66595.458,69114.563,71745.307,74424.332,77267.389,80295.913,83398.620,86633.434,90115.932,93855.062,97769.737,101856.931,106184.884,110832.549,115735.451,120868.954,126290.181,132146.706,138591.532,145537.338,153011.658,161142.148,170063.702,180012.888,191282.194,204062.330,218869.965,236425.896,257399.223,283027.989,315679.399,358126.462,417074.914,506964.104,673495.022,922573.694
MW (MWK),-8250.164,-2814.654,-1217.519,-780.052,-530.339,-359.080,-231.761,-135.969,-62.178,-1.967,48.040,87.032,120.668,149.743,176.539,203.069,228.518,255.300,280.710,308.225,338.974,376.404,418.184,458.504,500.195,547.077,598.557,650.391,704.049,762.587,822.490,882.051,945.775,1012.335,1079.660,1150.662,1222.314,1291.536,1362.542,1433.733,1503.225,1577.007,1653.928,1731.738,1813.225,1898.850,1987.705,2073.987,2158.637,2246.131,2336.878,2432.111,2528.990,2629.029,2729.240,2829.034,2932.356,3042.880,3160.742,3280.931,3408.288,3541.781,3677.077,3817.599,3963.849,4118.340,4281.618,4448.430,4627.078,4819.192,5015.279,5219.893,5441.525,5679.472,5928.790,6188.142,6465.325,6767.689,7088.569,7424.085,7776.084,8161.059,8587.668,9048.655,9546.184,10099.983,10708.106,11380.446,12148.707,13014.900,14033.434,15256.381,16710.270,18486.360,20742.257,23678.503,27762.460,33964.209,45552.437,62888.727
